hsa00010,Glycolysis / Gluconeogenesis
1327,COX4I1
9377,COX5A
1329,COX5B
1337,COX6A1
1339,COX6A2
1340,COX6B1
125965,COX6B2
1345,COX6C
1346,COX7A1
1347,COX7A2
9167,COX7A2L
1349,COX7B
170712,COX7B2
1350,COX7C
341947,COX8C
1351,COX8A
1353,COX11
1355,COX15
10063,COX17
498,ATP5F1A
506,ATP5F1B
509,ATP5F1C
513,ATP5F1D
514,ATP5F1E
539,ATP5PO
4508,ATP6
515,ATP5PB
516,ATP5MC1
517,ATP5MC2
518,ATP5MC3
10476,ATP5PD
521,ATP5ME
9551,ATP5MF
10632,ATP5MG
522,ATP5PF
4509,ATP8
523,ATP6V1A
525,ATP6V1B1
526,ATP6V1B2
245973,ATP6V1C2
528,ATP6V1C1
51382,ATP6V1D
90423,ATP6V1E2
529,ATP6V1E1
9296,ATP6V1F
9550,ATP6V1G1
127124,ATP6V1G3
534,ATP6V1G2
51606,ATP6V1H
10312,TCIRG1
23545,ATP6V0A2
50617,ATP6V0A4
535,ATP6V0A1
527,ATP6V0C
533,ATP6V0B
9114,ATP6V0D1
245972,ATP6V0D2
8992,ATP6V0E1
155066,ATP6V0E2
537,ATP6AP1
495,ATP4A
496,ATP4B
479,ATP12A
27068,PPA2
5464,PPA1
64077,LHPP
hsa00220,Arginine biosynthesis
5009,OTC
445,ASS1
435,ASL
384,ARG2
383,ARG1
4842,NOS1
4843,NOS2
4846,NOS3
27165,GLS2
2744,GLS
2752,GLUL
2747,GLUD2
2746,GLUD1
1373,CPS1
2805,GOT1
2806,GOT2
84706,GPT2
2875,GPT
162417,NAGS
95,ACY1
100526760,ABHD14A-ACY1
hsa00230,Purine metabolism
53343,NUDT9
56985,ADPRM
11164,NUDT5
5236,PGM1
55276,PGM2
221823,PRPS1L1
5634,PRPS2
5631,PRPS1
5471,PPAT
2618,GART
5198,PFAS
10606,PAICS
158,ADSL
471,ATIC
353,APRT
22978,NT5C2
84618,NT5C1A
93034,NT5C1B
30833,NT5C
56953,NT5M
51251,NT5C3A
115024,NT5C3B
100526794,NT5C1B-RDH14
4907,NT5E
4860,PNP
3251,HPRT1
3614,IMPDH1
3615,IMPDH2
10201,NME6
29922,NME7
4831,NME2
4833,NME4
4830,NME1
4832,NME3
654364,NME1-NME2
221264,AK9
956,ENTPD3
377841,ENTPD8
953,ENTPD1
124583,CANT1
9583,ENTPD4
957,ENTPD5
955,ENTPD6
131870,NUDT16
3704,ITPA
7498,XDH
318,NUDT2
8833,GMPS
2766,GMPR
51292,GMPR2
9615,GDA
2987,GUK1
5315,PKM
5313,PKLR
6240,RRM1
50484,RRM2B
6241,RRM2
1716,DGUOK
374659,HDDC3
58497,PRUNE1
107,ADCY1
108,ADCY2
109,ADCY3
196883,ADCY4
111,ADCY5
112,ADCY6
113,ADCY7
114,ADCY8
115,ADCY9
55811,ADCY10
2977,GUCY1A2
2982,GUCY1A1
2983,GUCY1B1
2984,GUCY2C
3000,GUCY2D
2986,GUCY2F
4881,NPR1
4882,NPR2
5136,PDE1A
5153,PDE1B
5137,PDE1C
5138,PDE2A
5139,PDE3A
5140,PDE3B
8654,PDE5A
5145,PDE6A
5158,PDE6B
5146,PDE6C
5147,PDE6D
5148,PDE6G
5149,PDE6H
5152,PDE9A
10846,PDE10A
50940,PDE11A
122622,ADSSL1
159,ADSS
271,AMPD2
272,AMPD3
270,AMPD1
132,ADK
1633,DCK
100,ADA
51816,ADA2
122481,AK7
205,AK4
26289,AK5
204,AK2
203,AK1
390877,Not Found
158067,AK8
102157402,AK6
50808,AK3
954,ENTPD2
84284,NTPCR
5141,PDE4A
5142,PDE4B
5143,PDE4C
5144,PDE4D
5150,PDE7A
27115,PDE7B
8622,PDE8B
5151,PDE8A
2272,FHIT
22875,ENPP4
9060,PAPSS2
9061,PAPSS1
5167,ENPP1
5169,ENPP3
646625,URAD
55821,ALLC
hsa00232,Caffeine metabolism
1544,CYP1A2
10,NAT2
9,NAT1
1548,CYP2A6
7498,XDH
hsa00240,Pyrimidine metabolism
790,CAD
1723,DHODH
7372,UMPS
51727,CMPK1
129607,CMPK2
10201,NME6
29922,NME7
4831,NME2
4833,NME4
4830,NME1
4832,NME3
654364,NME1-NME2
221264,AK9
956,ENTPD3
377841,ENTPD8
953,ENTPD1
124583,CANT1
9583,ENTPD4
957,ENTPD5
955,ENTPD6
1503,CTPS1
56474,CTPS2
83549,UCK1
7371,UCK2
54963,UCKL1
22978,NT5C2
84618,NT5C1A
93034,NT5C1B
30833,NT5C
56953,NT5M
51251,NT5C3A
115024,NT5C3B
100526794,NT5C1B-RDH14
4907,NT5E
151531,UPP2
7378,UPP1
139596,UPRT
1806,DPYD
1807,DPYS
51733,UPB1
5167,ENPP1
5169,ENPP3
6240,RRM1
50484,RRM2B
6241,RRM2
79077,DCTPP1
1854,DUT
7298,TYMS
978,CDA
1890,TYMP
4860,PNP
1633,DCK
1635,DCTD
7084,TK2
7083,TK1
1841,DTYMK
318,NUDT2
hsa00250,Alanine; aspartate and glutamate metabolism
2805,GOT1
2806,GOT2
259307,IL4I1
8528,DDO
80150,ASRGL1
440,ASNS
56954,NIT2
84706,GPT2
2875,GPT
189,AGXT
64902,AGXT2
445,ASS1
435,ASL
122622,ADSSL1
159,ADSS
158,ADSL
339983,NAT8L
57494,RIMKLB
284716,RIMKLA
2346,FOLH1
443,ASPA
2571,GAD1
2572,GAD2
18,ABAT
7915,ALDH5A1
2747,GLUD2
2746,GLUD1
8659,ALDH4A1
2752,GLUL
790,CAD
27165,GLS2
2744,GLS
1373,CPS1
9945,GFPT2
2673,GFPT1
5471,PPAT
hsa00260,Glycine; serine and threonine metabolism
6472,SHMT2
6470,SHMT1
189,AGXT
9380,GRHPR
132158,GLYCTK
5223,PGAM1
5224,PGAM2
441531,PGAM4
669,BPGM
26227,PHGDH
29968,PSAT1
5723,PSPH
23464,GCAT
211,ALAS1
212,ALAS2
4129,MAOB
4128,MAOA
8639,AOC3
314,AOC2
2731,GLDC
275,AMT
1738,DLD
2653,GCSH
1610,DAO
64902,AGXT2
2628,GATM
2593,GAMT
55349,CHDH
501,ALDH7A1
635,BHMT
29958,DMGDH
51268,PIPOX
1757,SARDH
27232,GNMT
875,CBS
102724560,CBSL
1491,CTH
10993,SDS
113675,SDSL
63826,SRR
hsa00270,Cysteine and methionine metabolism
1491,CTH
56267,KYAT3
883,KYAT1
875,CBS
102724560,CBSL
635,BHMT
23743,BHMT2
4548,MTR
27430,MAT2B
4143,MAT1A
4144,MAT2A
262,AMD1
6723,SRM
6611,SMS
4507,MTAP
84245,MRI1
51074,APIP
58478,ENOPH1
55256,ADI1
6898,TAT
259307,IL4I1
1786,DNMT1
1788,DNMT3A
1789,DNMT3B
23382,AHCYL2
10768,AHCYL1
191,AHCY
587,BCAT2
586,BCAT1
64902,AGXT2
2729,GCLC
2730,GCLM
2937,GSS
1036,CDO1
2805,GOT1
2806,GOT2
4357,MPST
7263,TST
160287,LDHAL6A
92483,LDHAL6B
3939,LDHA
3945,LDHB
3948,LDHC
4190,MDH1
4191,MDH2
10993,SDS
113675,SDSL
26227,PHGDH
29968,PSAT1
hsa00280,Valine; leucine and isoleucine degradation
587,BCAT2
586,BCAT1
259307,IL4I1
593,BCKDHA
594,BCKDHB
1629,DBT
1738,DLD
35,ACADS
34,ACADM
3712,IVD
36,ACADSB
27034,ACAD8
3030,HADHA
1962,EHHADH
1892,ECHS1
3033,HADH
3028,HSD17B10
30,ACAA1
10449,ACAA2
3032,HADHB
5095,PCCA
5096,PCCB
84693,MCEE
4594,MMUT
26275,HIBCH
11112,HIBADH
4329,ALDH6A1
217,ALDH2
224,ALDH3A2
219,ALDH1B1
501,ALDH7A1
223,ALDH9A1
316,AOX1
197322,ACSF3
18,ABAT
64902,AGXT2
56922,MCCC1
64087,MCCC2
549,AUH
3155,HMGCL
54511,HMGCLL1
5019,OXCT1
64064,OXCT2
65985,AACS
39,ACAT2
38,ACAT1
3157,HMGCS1
3158,HMGCS2
hsa00290,Valine; leucine and isoleucine biosynthesis
10993,SDS
113675,SDSL
587,BCAT2
586,BCAT1
hsa00310,Lysine degradation
10157,AASS
501,ALDH7A1
51166,AADAT
55526,DHTKD1
1743,DLST
1738,DLD
2639,GCDH
3030,HADHA
1962,EHHADH
1892,ECHS1
3033,HADH
39,ACAT2
38,ACAT1
123688,HYKK
85007,PHYKPL
51268,PIPOX
55870,ASH1L
84444,DOT1L
10919,EHMT2
79813,EHMT1
4297,KMT2A
8085,KMT2D
58508,KMT2C
9757,KMT2B
55904,KMT2E
64324,NSD1
7468,NSD2
54904,NSD3
23067,SETD1B
9739,SETD1A
29072,SETD2
84193,SETD3
80854,SETD7
387893,KMT5A
9869,SETDB1
83852,SETDB2
6419,SETMAR
6839,SUV39H1
79723,SUV39H2
84787,KMT5C
51111,KMT5B
2145,EZH1
2146,EZH2
7799,PRDM2
93166,PRDM6
56979,PRDM9
11105,PRDM7
79823,CAMKMT
55217,TMLHE
217,ALDH2
224,ALDH3A2
219,ALDH1B1
223,ALDH9A1
8424,BBOX1
5351,PLOD1
5352,PLOD2
8985,PLOD3
79709,COLGALT1
23127,COLGALT2
hsa00330,Arginine and proline metabolism
2628,GATM
2593,GAMT
1158,CKM
548596,CKMT1A
1160,CKMT2
1152,CKB
1159,CKMT1B
113451,AZIN2
79814,AGMAT
4953,ODC1
6723,SRM
6611,SMS
262,AMD1
26,AOC1
54498,SMOX
217,ALDH2
224,ALDH3A2
219,ALDH1B1
501,ALDH7A1
223,ALDH9A1
84735,CNDP1
55748,CNDP2
57571,CARNS1
112483,SAT2
6303,SAT1
4129,MAOB
4128,MAOA
4842,NOS1
4843,NOS2
4846,NOS3
384,ARG2
383,ARG1
4942,OAT
65263,PYCR3
29920,PYCR2
5831,PYCR1
5625,PRODH
102724788,Not Found
8659,ALDH4A1
5832,ALDH18A1
51056,LAP3
8974,P4HA2
283208,P4HA3
5033,P4HA1
58510,PRODH2
2805,GOT1
2806,GOT2
112817,HOGA1
1610,DAO
112849,L3HYPDH
hsa00340,Histidine metabolism
3034,HAL
131669,UROC1
144193,AMDHD1
10841,FTCD
3067,HDC
26,AOC1
217,ALDH2
224,ALDH3A2
219,ALDH1B1
501,ALDH7A1
223,ALDH9A1
443,ASPA
3176,HNMT
4129,MAOB
4128,MAOA
221,ALDH3B1
222,ALDH3B2
220,ALDH1A3
218,ALDH3A1
57571,CARNS1
138199,CARNMT1
55748,CNDP2
84735,CNDP1
hsa00350,Tyrosine metabolism
2805,GOT1
2806,GOT2
6898,TAT
259307,IL4I1
3242,HPD
3081,HGD
2954,GSTZ1
2184,FAH
7299,TYR
7054,TH
1638,DCT
7306,TYRP1
1644,DDC
1621,DBH
5409,PNMT
1312,COMT
220074,LRTOMT
4129,MAOB
4128,MAOA
8639,AOC3
314,AOC2
221,ALDH3B1
222,ALDH3B2
220,ALDH1A3
218,ALDH3A1
124,ADH1A
125,ADH1B
126,ADH1C
131,ADH7
127,ADH4
128,ADH5
130,ADH6
7173,TPO
316,AOX1
81889,FAHD1
4282,MIF
hsa00360,Phenylalanine metabolism
5053,PAH
1644,DDC
8639,AOC3
314,AOC2
4129,MAOB
4128,MAOA
221,ALDH3B1
222,ALDH3B2
220,ALDH1A3
218,ALDH3A1
2805,GOT1
2806,GOT2
6898,TAT
259307,IL4I1
3242,HPD
4282,MIF
10249,GLYAT
hsa00380,Tryptophan metabolism
6999,TDO2
3620,IDO1
169355,IDO2
125061,AFMID
8564,KMO
8942,KYNU
23498,HAAO
130013,ACMSD
64577,ALDH8A1
55526,DHTKD1
1743,DLST
1738,DLD
2639,GCDH
3030,HADHA
1962,EHHADH
1892,ECHS1
3033,HADH
39,ACAT2
38,ACAT1
56267,KYAT3
883,KYAT1
51166,AADAT
121278,TPH2
7166,TPH1
1644,DDC
4129,MAOB
4128,MAOA
217,ALDH2
224,ALDH3A2
219,ALDH1B1
501,ALDH7A1
223,ALDH9A1
316,AOX1
438,ASMT
15,AANAT
1543,CYP1A1
1544,CYP1A2
1545,CYP1B1
11185,INMT
259307,IL4I1
26,AOC1
847,CAT
hsa00400,Phenylalanine; tyrosine and tryptophan biosynthesis
2805,GOT1
2806,GOT2
6898,TAT
259307,IL4I1
5053,PAH
hsa00410,beta-Alanine metabolism
339896,GADL1
2571,GAD1
2572,GAD2
84735,CNDP1
57571,CARNS1
55748,CNDP2
18,ABAT
6723,SRM
6611,SMS
54498,SMOX
8639,AOC3
314,AOC2
217,ALDH2
224,ALDH3A2
219,ALDH1B1
501,ALDH7A1
223,ALDH9A1
221,ALDH3B1
222,ALDH3B2
220,ALDH1A3
218,ALDH3A1
1806,DPYD
1807,DPYS
51733,UPB1
26275,HIBCH
3030,HADHA
1962,EHHADH
1892,ECHS1
34,ACADM
23417,MLYCD
4329,ALDH6A1
hsa00430,Taurine and hypotaurine metabolism
1036,CDO1
2571,GAD1
2572,GAD2
51380,CSAD
339896,GADL1
84890,ADO
2686,GGT7
124975,GGT6
2678,GGT1
2687,GGT5
570,BAAT
hsa00440,Phosphonate and phosphinate metabolism
5833,PCYT2
85465,SELENOI
10390,CEPT1
9468,PCYT1B
5130,PCYT1A
56994,CHPT1
hsa00450,Selenocompound metabolism
56267,KYAT3
883,KYAT1
4548,MTR
1491,CTH
51540,SCLY
7296,TXNRD1
114112,TXNRD3
10587,TXNRD2
11185,INMT
9060,PAPSS2
9061,PAPSS1
22928,SEPHS2
22929,SEPHS1
118672,PSTK
51091,SEPSECS
4141,MARS
92935,MARS2
hsa00471,D-Glutamine and D-glutamate metabolism
27165,GLS2
2744,GLS
2747,GLUD2
2746,GLUD1
80017,DGLUCY
hsa00472,D-Arginine and D-ornithine metabolism
1610,DAO
hsa00480,Glutathione metabolism
2686,GGT7
124975,GGT6
2678,GGT1
2687,GGT5
79017,GGCT
79094,CHAC1
494143,CHAC2
26873,OPLAH
2729,GCLC
2730,GCLM
2937,GSS
51056,LAP3
290,ANPEP
221357,GSTA5
2939,GSTA2
2941,GSTA4
119391,GSTO2
2948,GSTM4
2953,GSTT2
2952,GSTT1
2947,GSTM3
4257,MGST1
4259,MGST3
2950,GSTP1
2944,GSTM1
2949,GSTM5
4258,MGST2
2938,GSTA1
2946,GSTM2
2940,GSTA3
9446,GSTO1
653689,GSTT2B
373156,GSTK1
27306,HPGDS
9027,NAT8
51471,NAT8B
2936,GSR
3417,IDH1
3418,IDH2
5226,PGD
2539,G6PD
51060,TXNDC12
257202,GPX6
2882,GPX7
2877,GPX2
2878,GPX3
2876,GPX1
2880,GPX5
493869,GPX8
2879,GPX4
4953,ODC1
6723,SRM
6611,SMS
6240,RRM1
50484,RRM2B
6241,RRM2
hsa00500,Starch and sucrose metabolism
8972,MGAM
93432,MGAM2
2548,GAA
2595,GANC
6476,SI
7360,UGP2
5167,ENPP1
5169,ENPP3
57733,GBA3
2998,GYS2
2997,GYS1
2992,GYG1
8908,GYG2
2632,GBE1
5836,PYGL
5837,PYGM
5834,PYGB
178,AGL
278,AMY1C
279,AMY2A
276,AMY1A
280,AMY2B
277,AMY1B
11181,TREH
5236,PGM1
55276,PGM2
3101,HK3
3098,HK1
3099,HK2
80201,HKDC1
2645,GCK
2538,G6PC
57818,G6PC2
92579,G6PC3
283209,PGM2L1
2821,GPI
hsa00510,N-Glycan biosynthesis
79644,SRD5A3
22845,DOLK
1798,DPAGT1
29880,ALG5
79868,ALG13
199857,ALG14
8813,DPM1
8818,DPM2
54344,DPM3
56052,ALG1
85365,ALG2
440138,ALG11
10195,ALG3
79796,ALG9
79087,ALG12
29929,ALG6
79053,ALG8
84920,ALG10
144245,ALG10B
3703,STT3A
201595,STT3B
6184,RPN1
6185,RPN2
1603,DAD1
7991,TUSC3
1650,DDOST
57171,DOLPP1
7841,MOGS
23193,GANAB
11253,MAN1B1
10905,MAN1A2
57134,MAN1C1
4121,MAN1A1
4245,MGAT1
4124,MAN2A1
4122,MAN2A2
4247,MGAT2
2530,FUT8
2683,B4GALT1
8704,B4GALT2
8703,B4GALT3
6480,ST6GAL1
84620,ST6GAL2
4248,MGAT3
11320,MGAT4A
11282,MGAT4B
152586,MGAT4D
4249,MGAT5
146664,MGAT5B
25834,MGAT4C
hsa00511,Other glycan degradation
4758,NEU1
10825,NEU3
129807,NEU4
4759,NEU2
2720,GLB1
3073,HEXA
3074,HEXB
284004,HEXD
4123,MAN2C1
4125,MAN2B1
23324,MAN2B2
4126,MANBA
64772,ENGASE
2517,FUCA1
2519,FUCA2
175,AGA
2629,GBA
57704,GBA2
hsa00512,Mucin type O-glycan biosynthesis
442117,GALNTL6
11227,GALNT5
64409,GALNT17
63917,GALNT11
79695,GALNT12
114805,GALNT13
79623,GALNT14
57452,GALNT16
117248,GALNT15
374378,GALNT18
168391,GALNTL5
55568,GALNT10
2590,GALNT2
2591,GALNT3
2589,GALNT1
11226,GALNT6
8693,GALNT4
50614,GALNT9
51809,GALNT7
26290,GALNT8
100528030,POC1B-GALNT4
56913,C1GALT1
29071,C1GALT1C1
2650,GCNT1
9245,GCNT3
51301,GCNT4
6482,ST3GAL1
6483,ST3GAL2
55808,ST6GALNAC1
192134,B3GNT6
9334,B4GALT5
hsa00514,Other types of O-glycan biosynthesis
8473,OGT
285203,EOGT
23509,POFUT1
23275,POFUT2
4242,MFNG
3955,LFNG
5986,RFNG
2683,B4GALT1
8704,B4GALT2
8703,B4GALT3
6480,ST6GAL1
84620,ST6GAL2
6487,ST3GAL3
145173,B3GLCT
56983,POGLUT1
283464,GXYLT1
727936,GXYLT2
79709,COLGALT1
23127,COLGALT2
8985,PLOD3
10585,POMT1
29954,POMT2
hsa00515,Mannose type O-glycan biosynthesis
10585,POMT1
29954,POMT2
55624,POMGNT1
2683,B4GALT1
8704,B4GALT2
8703,B4GALT3
6487,ST3GAL3
27087,B3GAT1
135152,B3GAT2
9486,CHST10
10690,FUT9
2526,FUT4
