mmu00010,Glycolysis / Gluconeogenesis
258874,Olfr900
258875,Olfr895
258877,Olfr1395
258879,Olfr330
258881,Olfr1404
258882,Olfr874
258883,Olfr876
258886,Olfr1299
258887,Olfr1294
258888,Olfr1298
258889,Olfr1301
258890,Olfr1297
258891,Olfr1302
258892,Olfr126
258893,Olfr1225
258894,Olfr1223
258895,Olfr1216
258897,Olfr1201
258898,Olfr1205
258899,Olfr1214
258900,Olfr1213
258901,Olfr1219
258902,Olfr1220
258903,Olfr1217
258904,Olfr1221
258905,Olfr871
258907,Olfr851
258908,Olfr853
258910,Olfr1280
258912,Olfr1378
258914,Olfr211
258457,Olfr108
258458,Olfr165
258459,Olfr1388
258460,Olfr1391
258462,Olfr1392
258463,Olfr1393
258464,Olfr1384
258465,Olfr1387
258466,Olfr1261
258468,Olfr1254
258469,Olfr90
258640,Olfr152
258325,Olfr110
18316,Olfr19
258939,Olfr63
258645,Olfr418
258507,Olfr96
258830,Olfr103
258831,Olfr101
258832,Olfr109
170639,Olfr78
18367,Olfr66
18366,Olfr64
18365,Olfr65
258925,Olfr20
258924,Olfr376
258913,Olfr1377
258706,Olfr43
258481,Olfr137
18310,Olfr13
258990,Olfr447
18312,Olfr15
258988,Olfr38
258534,Olfr1361
258702,Olfr410
258701,Olfr401
258704,Olfr411
258711,Olfr432
258712,Olfr433
258713,Olfr430
258715,Olfr421-ps1
258716,Olfr424
258717,Olfr429
258718,Olfr513
258719,Olfr512
258720,Olfr516
258721,Olfr514
258722,Olfr611
258723,Olfr781
258724,Olfr784
258725,Olfr1095
258726,Olfr599
258727,Olfr488
258728,Olfr482
258729,Olfr478
258730,Olfr483
258731,Olfr491
258732,Olfr494
258733,Olfr497
258734,Olfr502
258736,Olfr1497
258737,Olfr1316
258738,Olfr507
258739,Olfr1362
258740,Olfr957
258741,Olfr935
258742,Olfr146
258743,Olfr661
258744,Olfr875
258745,Olfr689
258746,Olfr648
258747,Olfr1106
258748,Olfr1195
258749,Olfr556
258750,Olfr551
258751,Olfr608
258752,Olfr583
258753,Olfr678
258754,Olfr214
258755,Olfr672
258756,Olfr414
258757,Olfr1013
258758,Olfr1406
258759,Olfr1408
258762,Olfr1109
258763,Olfr1104
258764,Olfr1099
258765,Olfr1110
258766,Olfr259
258767,Olfr1176
258768,Olfr1189
258769,Olfr508
258770,Olfr472
258771,Olfr473
258772,Olfr821
258773,Olfr818
258774,Olfr1208
258775,Olfr196
259124,Olfr638
259125,Olfr644
259126,Olfr623
259162,Olfr427
259165,Olfr814
269862,Olfr1349
276865,Olfr1371
277562,Olfr1286
277935,Olfr519
383243,Olfr128
384703,Olfr670
404307,Olfr100
404309,Olfr192
404310,Olfr199
404311,Olfr209
404312,Olfr250
404313,Olfr251
404314,Olfr257
404315,Olfr372
404316,Olfr403
404317,Olfr592
404318,Olfr681
404319,Olfr750
404321,Olfr776
404322,Olfr924
404323,Olfr1040
404324,Olfr1051
404325,Olfr1057
404327,Olfr1113
404328,Olfr1118
404329,Olfr1173
404330,Olfr1198
404331,Olfr1252
404335,Olfr1535
404336,Olfr1380
404337,Olfr1383
404339,Olfr1480
404473,Olfr1082
406175,Olfr242
406176,Olfr151
406186,Olfr142
27216,Olfr154
29845,Olfr155
29846,Olfr156
29849,Olfr159
56014,Olfr70
56015,Olfr71
56858,Olfr749
56860,Olfr690
56861,Olfr480
57250,Olfr653
57251,Olfr870
57269,Olfr1507
57270,Olfr1508
57271,Olfr1509
57272,Olfr140
66786,Olfr701
80706,Olfr160
258261,Olfr325
258263,Olfr117
258264,Olfr747
258265,Olfr1333
258266,Olfr247
258267,Olfr370
258268,Olfr1511
258269,Olfr930
258270,Olfr448
258271,Olfr1311
258272,Olfr1402
258273,Olfr1394
258274,Olfr1412
258275,Olfr729
258276,Olfr960
258277,Olfr281
258278,Olfr284
258279,Olfr846
258280,Olfr1366
258281,Olfr780
258282,Olfr801
258283,Olfr981
258284,Olfr114
258285,Olfr122
258286,Olfr113
258287,Olfr125
258288,Olfr1484
258289,Olfr1324
258290,Olfr1143
258291,Olfr1167
258292,Olfr446
258293,Olfr437
259057,Olfr649
259058,Olfr646
259061,Olfr668
259062,Olfr667
259063,Olfr691
259064,Olfr124
259066,Olfr520
259067,Olfr449
259069,Olfr1389
259070,Olfr829
259071,Olfr166
259072,Olfr686
259073,Olfr603
259075,Olfr641
259078,Olfr656
259080,Olfr619
259081,Olfr643
259082,Olfr1062
259083,Olfr547
259084,Olfr615
259085,Olfr610
259086,Olfr609
259087,Olfr622
258294,Olfr1115
258295,Olfr746
258296,Olfr745
258297,Olfr827
258298,Olfr1475
258300,Olfr1449
258301,Olfr1340
258302,Olfr420
258303,Olfr518
258304,Olfr498
258305,Olfr1356
258306,Olfr1337
258307,Olfr493
258308,Olfr510
258309,Olfr657
258311,Olfr601
258313,Olfr726
258314,Olfr725
258315,Olfr767
258316,Olfr727
258317,Olfr1145
258318,Olfr186
258319,Olfr187
258320,Olfr1232
258321,Olfr809
258322,Olfr554
258323,Olfr943
258324,Olfr129
258326,Olfr642
258327,Olfr958
258328,Olfr954
258329,Olfr135
258330,Olfr1274
258331,Olfr1330
258333,Olfr893
258334,Olfr1396
258335,Olfr374
258336,Olfr77
258338,Olfr1259
258339,Olfr1269
258340,Olfr1265
258341,Olfr1495
258342,Olfr1491
258343,Olfr397
258344,Olfr390
258345,Olfr1121
258346,Olfr1128
258347,Olfr1123
258348,Olfr1133
258350,Olfr706
258351,Olfr633
258352,Olfr692
258353,Olfr521
258354,Olfr168
258355,Olfr677
258356,Olfr564
258357,Olfr574
258358,Olfr557
258359,Olfr1312
258360,Olfr731
258361,Olfr495
258362,Olfr1094
258363,Olfr1093
258364,Olfr976
258365,Olfr361
258366,Olfr434
258368,Olfr1450
258369,Olfr509
258371,Olfr368
258372,Olfr918
258373,Olfr323
258374,Olfr127
258375,Olfr794
258377,Olfr654
258378,Olfr593
258379,Olfr1284
258380,Olfr461
258381,Olfr460
258383,Olfr1347
258384,Olfr1350
258385,Olfr1323
258386,Olfr1058
258387,Olfr720
258388,Olfr1279
258389,Olfr1278
258390,Olfr1276
258391,Olfr1277
258392,Olfr190
258393,Olfr1325
258394,Olfr1328
258395,Olfr1288
258396,Olfr1305
258397,Olfr1303
258398,Olfr1295
258399,Olfr1289
258401,Olfr1076
258402,Olfr1079
258403,Olfr1065
258404,Olfr1080
258405,Olfr1420
258406,Olfr462
258407,Olfr464
258408,Olfr463
258409,Olfr1431
258410,Olfr291
258411,Olfr290
258412,Olfr877
258413,Olfr881
258414,Olfr883
258415,Olfr887
258416,Olfr888
258417,Olfr470
258418,Olfr469
258421,Olfr223
258422,Olfr742
258423,Olfr1510
258424,Olfr1512
258425,Olfr994
258426,Olfr995
258427,Olfr993
258428,Olfr998
258429,Olfr996
258430,Olfr938
258431,Olfr937
258432,Olfr919
258433,Olfr933
258434,Olfr934
258435,Olfr382
258436,Olfr458
258437,Olfr450
258438,Olfr215
258439,Olfr1309
258440,Olfr1317
258441,Olfr1310
258442,Olfr1314
258443,Olfr164
258444,Olfr694
258445,Olfr693
258446,Olfr1231
258447,Olfr1241
258448,Olfr92
258449,Olfr282
258450,Olfr1199
258451,Olfr1215
258453,Olfr1209
258454,Olfr1202
258455,Olfr1204
258456,Olfr1196
110511,Olfr153
117004,Olfr73
117005,Olfr74
18307,Olfr10
18313,Olfr16
18314,Olfr17
18315,Olfr18
18317,Olfr2
18322,Olfr24
18323,Olfr25
18329,Olfr30
18330,Olfr31
18331,Olfr32
18332,Olfr33
18341,Olfr263
18343,Olfr44
18344,Olfr45
18345,Olfr46
18346,Olfr47
18348,Olfr49
18349,Olfr5
18350,Olfr50
18352,Olfr52
18354,Olfr54
18356,Olfr56
18357,Olfr57
18359,Olfr59
18361,Olfr60
18362,Olfr61
18363,Olfr62
18368,Olfr67
18369,Olfr68
18370,Olfr69
18372,Olfr8
18373,Olfr9
193053,Olfr384
194433,Olfr707
211472,Olfr1373
216783,Olfr320
218066,Olfr11
227789,Olfr358
228228,Olfr1102
228443,Olfr1283
233578,Olfr553
233670,Olfr6
235248,Olfr952
235256,Olfr149
236509,Olfr366
236784,Olfr1320
236785,Olfr1321
244187,Olfr684
257662,Olfr1290
257665,Olfr1506
257667,Olfr769
257890,Olfr12
257913,Olfr141
257959,Olfr1537
258231,Olfr1471
258232,Olfr774
258233,Olfr741
258235,Olfr1084
258238,Olfr417
258241,Olfr1212
258242,Olfr955
258245,Olfr1036
258246,Olfr594
258247,Olfr645
258249,Olfr845
258252,Olfr813
258255,Olfr1010
258257,Olfr1313
258258,Olfr1308
258259,Olfr1338
259088,Olfr639
259089,Olfr571
259091,Olfr585
259092,Olfr569
259093,Olfr572
259095,Olfr568
259096,Olfr561
259097,Olfr558
259098,Olfr606
259099,Olfr676
259100,Olfr666
259102,Olfr630
259103,Olfr616
259104,Olfr613
259105,Olfr549
259106,Olfr552
259107,Olfr555
259108,Olfr550
259109,Olfr978
259110,Olfr980
259111,Olfr974
259112,Olfr979
259113,Olfr577
259114,Olfr570
259115,Olfr586
259116,Olfr559
259117,Olfr560
259118,Olfr575
259119,Olfr578
259122,Olfr635
259123,Olfr632
258420,Olfr221
257941,Olfr1042
257950,Olfr1039
257958,Olfr301
257962,Olfr222
258036,Olfr198
257974,Olfr1053
258248,Olfr576
258896,Olfr1206
404222,Olfr231
18328,Olfr3
258880,Olfr218
258606,Olfr229
258858,Olfr371
18324,Olfr26
258155,Olfr1425
258027,Olfr1385
258105,Olfr1162
258039,Olfr728
258086,Olfr967
258097,Olfr1500
257985,Olfr782
546747,Olfr220
258206,Olfr1264
258196,Olfr309
258056,Olfr533
258025,Olfr1211
329460,Olfr1193
257910,Olfr671
258216,Olfr1034
258016,Olfr453
629524,Olfr286
404346,Olfr322
257889,Olfr132
258067,Olfr1359
259161,Olfr688
258203,Olfr1178
257915,Olfr1016
258218,Olfr102
436002,Olfr243
257978,Olfr1322
259148,Olfr329
257917,Olfr314
258074,Olfr834
100038860,Olfr239
258154,Olfr1029
257939,Olfr527
544748,Olfr765
100038859,Olfr55
257884,Olfr744
257898,Olfr867
258502,Olfr279
257883,Olfr1357
257916,Olfr1031
258055,Olfr524
100043474,Olfr1564
257933,Olfr1089
545985,Olfr612
634104,Olfr287
258151,Olfr1505
258153,Olfr412
258158,Olfr169
258160,Olfr685
258189,Olfr624
258310,Olfr145
257951,Olfr987
259159,Olfr628
100040268,Olfr157
100041187,Olfr596
18347,Olfr48
257909,Olfr735
257919,Olfr467
257926,Olfr544
257947,Olfr543
546896,Olfr455
258228,Olfr1415
258168,Olfr566
258207,Olfr452
258156,Olfr605
257932,Olfr332
259147,Olfr723
258023,Olfr1306
258201,Olfr538
258222,Olfr310
258227,Olfr1418
258461,Olfr1381
258602,Olfr150
258622,Olfr121
258958,Olfr525
258984,Olfr1257
259074,Olfr1352
433031,Olfr194
100043200,Olfr819
170648,Olfr138
219019,Olfr743
257666,Olfr772
257881,Olfr205
257887,Olfr1200
257888,Olfr1386
257900,Olfr1024
257902,Olfr704
257904,Olfr294
18351,Olfr51
258019,Olfr212
258120,Olfr1463
257912,Olfr948
257921,Olfr1229
257929,Olfr299
257979,Olfr1281
258020,Olfr213
258134,Olfr426
258869,Olfr147
257956,Olfr1307
258022,Olfr1318
258065,Olfr312
258089,Olfr304
258103,Olfr1152
258111,Olfr1129
258147,Olfr675
258113,Olfr748
258117,Olfr1437
259151,Olfr1037
384732,Olfr715b
433449,Olfr1197
258136,Olfr517
258139,Olfr591
258173,Olfr1532-ps1
258177,Olfr1222
258198,Olfr224
546989,Olfr607
258087,Olfr963
258135,Olfr597
258069,Olfr787
257972,Olfr193
258028,Olfr901
545417,Olfr367-ps
257872,Olfr835
257963,Olfr857
257734,Olfr1355
258554,Olfr873
259163,Olfr1354
258553,Olfr872
258178,Olfr180
257891,Olfr479
258098,Olfr1490
258224,Olfr1358
257892,Olfr324
100042690,Olfr1565
108167789,Gm10310
257973,Olfr207
435804,Olfr1335
257961,Olfr1432
545205,Olfr111
257938,Olfr1419
257886,Olfr225
257882,Olfr1344
668035,Olfr687
257975,Olfr598
257905,Olfr298
546488,Olfr785
258148,Olfr789
258994,Olfr204
259068,Olfr1390
259145,Olfr1251
257875,Olfr1116
257885,Olfr885
257906,Olfr293
257943,Olfr285
257971,Olfr1382
257980,Olfr1275
257996,Olfr884
258051,Olfr93
258060,Olfr1181
258095,Olfr119
258101,Olfr1137
258165,Olfr965
258180,Olfr699
258183,Olfr917
258215,Olfr506
258220,Olfr1148
258225,Olfr913
258236,Olfr391
258299,Olfr1461
258370,Olfr1253
258075,Olfr832
18358,Olfr58
258550,Olfr869
258926,Olfr476
258042,Olfr487
258041,Olfr485
257664,Olfr773
258068,Olfr804
258150,Olfr792
258163,Olfr504
257914,Olfr663
257901,Olfr1096-ps1
14680,Gnal
14688,Gnb1
14708,Gng7
64337,Gng13
104111,Adcy3
12789,Cnga2
233649,Cnga4
333329,Cngb1
243634,Ano2
14919,Gucy2e
14918,Gucy2d
12790,Cnga3
52589,Ncald
19091,Prkg1
19092,Prkg2
20541,Slc8a1
110891,Slc8a2
110893,Slc8a3
238384,Slc24a4
110355,Grk2
320129,Grk3
109689,Arrb1
216869,Arrb2
19735,Rgs2
18747,Prkaca
18749,Prkacb
108058,Camk2d
12325,Camk2g
12323,Camk2b
12322,Camk2a
12313,Calm1
80796,Calm4
12315,Calm3
12314,Calm2
70405,Calml3
494124,Calm5
75600,Calml4
18573,Pde1a
18574,Pde1b
18575,Pde1c
207728,Pde2a
mmu04742,Taste transduction
20276,Scnn1a
20277,Scnn1b
20278,Scnn1g
12496,Entpd2
83770,Tas1r2
83771,Tas1r3
242851,Gnat3
14695,Gnb3
64337,Gng13
104110,Adcy4
11512,Adcy6
11514,Adcy8
18747,Prkaca
18749,Prkacb
16440,Itpr3
56843,Trpm5
110876,Scn2a
20269,Scn3a
20274,Scn9a
546729,Calhm1
231602,P2rx2
228139,P2rx3
18441,P2ry1
57385,P2ry4
12671,Chrm3
110326,Tas1r1
14816,Grm1
268934,Grm4
112408,Tas2r116
353148,Tas2r139
353165,Tas2r136
353166,Tas2r117
353167,Tas2r123
353325,Tas2r115
387339,Tas2r102
387340,Tas2r104
387341,Tas2r106
387342,Tas2r107
387343,Tas2r109
387344,Tas2r110
387345,Tas2r113
387346,Tas2r114
387347,Tas2r118
387348,Tas2r120
387349,Tas2r121
387351,Tas2r124
387352,Tas2r125
387353,Tas2r126
387354,Tas2r129
387355,Tas2r130
387356,Tas2r131
387511,Tas2r134
387512,Tas2r135
387513,Tas2r138
387514,Tas2r143
387515,Tas2r144
387616,Tas2r140
57252,Tas2r105
57253,Tas2r108
57254,Tas2r119
574417,Tas2r137
277899,Gm725
630845,Tas2r122
667992,Tas2r103
18573,Pde1a
18574,Pde1b
18575,Pde1c
329064,Pkd2l1
244646,Pkd1l3
16529,Kcnk5
330953,Hcn4
12286,Cacna1a
12288,Cacna1c
14394,Gabra1
14395,Gabra2
14396,Gabra3
14397,Gabra4
110886,Gabra5
14399,Gabra6
54393,Gabbr1
242425,Gabbr2
15550,Htr1a
15551,Htr1b
15552,Htr1d
15557,Htr1f
15561,Htr3a
57014,Htr3b
11418,Asic2
mmu04744,Phototransduction
212541,Rho
24013,Grk1
19674,Rcvrn
20215,Sag
14685,Gnat1
14686,Gnat2
14688,Gnb1
14699,Gngt1
19739,Rgs9
225600,Pde6a
18587,Pde6b
18588,Pde6g
14919,Gucy2e
14918,Gucy2d
245650,Gucy2f
14913,Guca1a
107477,Guca1b
214111,Slc24a1
12313,Calm1
80796,Calm4
12315,Calm3
12314,Calm2
70405,Calml3
494124,Calm5
75600,Calml4
12788,Cnga1
333329,Cngb1
mmu04750,Inflammatory mediator regulation of TRP channels
16644,Kng1
385643,Kng2
12061,Bdkrb1
12062,Bdkrb2
15558,Htr2a
15559,Htr2b
15560,Htr2c
15465,Hrh1
18442,P2ry2
14682,Gnaq
329502,Pla2g4e
18783,Pla2g4a
211429,Pla2g4b
232889,Pla2g4c
78390,Pla2g4d
271844,Pla2g4f
53357,Pla2g6
11684,Alox12
11685,Alox12e
18795,Plcb1
18797,Plcb3
18798,Plcb4
18796,Plcb2
16438,Itpr1
16439,Itpr2
16440,Itpr3
18754,Prkce
19045,Ppp1ca
19046,Ppp1cb
19047,Ppp1cc
434233,Ppp1ccb
277328,Trpa1
193034,Trpv1
11419,Asic1
11418,Asic2
171209,Asic3
241118,Asic4
58170,Asic5
12313,Calm1
80796,Calm4
12315,Calm3
12314,Calm2
70405,Calml3
494124,Calm5
75600,Calml4
108058,Camk2d
12325,Camk2g
12323,Camk2b
12322,Camk2a
16176,Il1b
16177,Il1r1
16180,Il1rap
26397,Map2k3
26399,Map2k6
26416,Mapk14
19094,Mapk11
29857,Mapk12
26415,Mapk13
26419,Mapk8
26420,Mapk9
26414,Mapk10
18048,Klk1b4
18049,Ngf
18211,Ntrk1
18803,Plcg1
234779,Plcg2
18706,Pik3ca
18707,Pik3cd
74769,Pik3cb
18709,Pik3r2
18708,Pik3r1
18710,Pik3r3
18753,Prkcd
20779,Src
171382,Trpm8
19217,Ptger2
19219,Ptger4
14683,Gnas
432530,Adcy1
210044,Adcy2
104111,Adcy3
104110,Adcy4
224129,Adcy5
11512,Adcy6
11513,Adcy7
11514,Adcy8
11515,Adcy9
18747,Prkaca
18749,Prkacb
63873,Trpv4
14063,F2rl1
13097,Cyp2c38
13098,Cyp2c39
13099,Cyp2c40
226143,Cyp2c23
13095,Cyp2c29
226105,Cyp2c70
13096,Cyp2c37
72082,Cyp2c55
72303,Cyp2c65
69888,Cyp2c66
107141,Cyp2c50
404195,Cyp2c54
433247,Cyp2c68
665095,Cyp2j8
230459,Cyp2j13
100066,Cyp2j11
74519,Cyp2j9
13109,Cyp2j5
242546,Cyp2j12
13110,Cyp2j6
13118,Cyp4a12b
13117,Cyp4a10
13119,Cyp4a14
435802,Cyp4a30b
230639,Cyp4a29
666168,Cyp4a31
100040843,Cyp4a32
277753,Cyp4a12a
18750,Prkca
18751,Prkcb
18752,Prkcg
18755,Prkch
18761,Prkcq
16000,Igf1
22368,Trpv2
246788,Trpv3
mmu04810,Regulation of actin cytoskeleton
14745,Lpar1
53978,Lpar2
78134,Lpar4
381810,Lpar5
20315,Cxcl12
12767,Cxcr4
14061,F2
14062,F2r
16334,Ins2
16333,Ins1
13645,Egf
14164,Fgf1
14173,Fgf2
14174,Fgf3
14175,Fgf4
14176,Fgf5
14178,Fgf7
14179,Fgf8
14180,Fgf9
14165,Fgf10
80903,Fgf16
14171,Fgf17
14172,Fgf18
80857,Fgf20
67112,Fgf22
14177,Fgf6
14170,Fgf15
56636,Fgf21
64654,Fgf23
18590,Pdgfa
18591,Pdgfb
54635,Pdgfc
71785,Pdgfd
23920,Insrr
13649,Egfr
14182,Fgfr1
14183,Fgfr2
14184,Fgfr3
14186,Fgfr4
18595,Pdgfra
18596,Pdgfrb
14268,Fn1
109700,Itga1
16398,Itga2
16399,Itga2b
16400,Itga3
16401,Itga4
16402,Itga5
16403,Itga6
16404,Itga7
241226,Itga8
104099,Itga9
213119,Itga10
319480,Itga11
16410,Itgav
16408,Itgal
16409,Itgam
16411,Itgax
381924,Itgad
16407,Itgae
16412,Itgb1
16414,Itgb2
16415,Itgb2l
16416,Itgb3
192897,Itgb4
16419,Itgb5
16420,Itgb6
16421,Itgb7
320910,Itgb8
16644,Kng1
385643,Kng2
12061,Bdkrb1
12062,Bdkrb2
12669,Chrm1
243764,Chrm2
12671,Chrm3
12672,Chrm4
213788,Chrm5
14673,Gna12
14674,Gna13
14701,Gng12
100503710,Gm5741
14163,Fgd1
30938,Fgd3
14083,Ptk2
12927,Bcar1
12928,Crk
12929,Crkl
330662,Dock1
20779,Src
20662,Sos1
20663,Sos2
15461,Hras
16653,Kras
18176,Nras
20130,Rras
66922,Rras2
17532,Mras
73341,Arhgef6
18706,Pik3ca
18707,Pik3cd
74769,Pik3cb
18709,Pik3r2
18708,Pik3r1
18710,Pik3r3
22324,Vav1
22325,Vav2
57257,Vav3
21844,Tiam1
11836,Araf
109880,Braf
110157,Raf1
17451,Mos
26395,Map2k1
26396,Map2k2
26413,Mapk1
26417,Mapk3
16801,Arhgef1
69632,Arhgef12
232906,Arhgap35
11848,Rhoa
67653,4930544G11Rik
19353,Rac1
19354,Rac2
170758,Rac3
12540,Cdc42
18479,Pak1
224105,Pak2
18481,Pak3
70584,Pak4
241656,Pak7
214230,Pak6
54126,Arhgef7
216963,Git1
19877,Rock1
19878,Rock2
107589,Mylk
213435,Mylk3
228785,Mylk2
238564,Mylk4
19045,Ppp1ca
19046,Ppp1cb
19047,Ppp1cc
434233,Ppp1ccb
17931,Ppp1r12a
329251,Ppp1r12b
232807,Ppp1r12c
17906,Myl2
17898,Myl7
98932,Myl9
59310,Myl10
67938,Myl12b
67268,Myl12a
17907,Mylpf
17880,Myh11
17886,Myh9
71960,Myh14
77579,Myh10
13367,Diaph1
54004,Diaph2
20544,Slc9a1
18717,Pip5k1c
18719,Pip5k1b
18720,Pip5k1a
117150,Pip4k2c
18718,Pip4k2a
108083,Pip4k2b
18711,Pikfyve
16885,Limk1
16886,Limk2
56419,Diaph3
108100,Baiap2
13800,Enah
73178,Wasl
242687,Wasf2
20430,Cyfip1
76884,Cyfip2
105855,Nckap1l
50884,Nckap1
329165,Abi2
101314,Brk1
83767,Wasf1
67771,Arpc5
74192,Arpc5l
68089,Arpc4
56378,Arpc3
11867,Arpc1b
56443,Arpc1a
76709,Arpc2
11465,Actg1
11461,Actb
18643,Pfn1
18645,Pfn2
75477,Pfn3
382562,Pfn4
19303,Pxn
22350,Ezr
19684,Rdx
17698,Msn
19241,Tmsb4x
12631,Cfl1
12632,Cfl2
231637,Ssh1
237860,Ssh2
245857,Ssh3
22330,Vcl
29875,Iqgap1
544963,Iqgap2
404710,Iqgap3
227753,Gsn
20259,Scin
60595,Actn4
109711,Actn1
11789,Apc
23805,Apc2
226970,Arhgef4
219140,Spata13
mmu04910,Insulin signaling pathway
16334,Ins2
16333,Ins1
16337,Insr
16367,Irs1
384783,Irs2
16369,Irs3
16370,Irs4
18709,Pik3r2
18708,Pik3r1
18710,Pik3r3
18706,Pik3ca
18707,Pik3cd
74769,Pik3cb
18607,Pdpk1
11651,Akt1
11652,Akt2
23797,Akt3
56637,Gsk3b
14936,Gys1
232493,Gys2
19045,Ppp1ca
19046,Ppp1cb
19047,Ppp1cc
434233,Ppp1ccb
140491,Ppp1r3a
53412,Ppp1r3c
244416,Ppp1r3b
228966,Ppp1r3d
105651,Ppp1r3e
54646,Ppp1r3f
18682,Phkg1
68961,Phkg2
110094,Phka2
18679,Phka1
102093,Phkb
12313,Calm1
80796,Calm4
12315,Calm3
12314,Calm2
70405,Calml3
494124,Calm5
75600,Calml4
19309,Pygm
110078,Pygb
110095,Pygl
18576,Pde3b
18747,Prkaca
18749,Prkacb
19084,Prkar1a
19087,Prkar2a
19088,Prkar2b
19085,Prkar1b
16890,Lipe
18762,Prkcz
18759,Prkci
20528,Slc2a4
14252,Flot2
14251,Flot1
23921,Sh2b2
20411,Sorbs1
12402,Cbl
208650,Cblb
12928,Crk
12929,Crkl
107746,Rapgef1
104215,Rhoq
53413,Exoc7
106628,Trip10
20787,Srebf1
107476,Acaca
100705,Acacb
14104,Fasn
18770,Pklr
15277,Hk2
212032,Hk3
15275,Hk1
216019,Hkdc1
103988,Gck
105787,Prkaa1
108079,Prkaa2
19079,Prkab1
108097,Prkab2
19082,Prkag1
241113,Prkag3
108099,Prkag2
56458,Foxo1
19017,Ppargc1a
14377,G6pc
14378,G6pc2
68401,G6pc3
14121,Fbp1
14120,Fbp2
18534,Pck1
74551,Pck2
56717,Mtor
74370,Rptor
58988,Rps6kb2
72508,Rps6kb1
20104,Rps6
13685,Eif4ebp1
13684,Eif4e
26987,Eif4e2
218268,Eif4e1b
64930,Tsc1
22084,Tsc2
19744,Rheb
12015,Bad
20416,Shc1
216148,Shc2
20418,Shc3
271849,Shc4
14784,Grb2
20662,Sos1
20663,Sos2
15461,Hras
16653,Kras
18176,Nras
11836,Araf
109880,Braf
110157,Raf1
26395,Map2k1
26396,Map2k2
26413,Mapk1
26417,Mapk3
17346,Mknk1
17347,Mknk2
13712,Elk1
12703,Socs1
216233,Socs2
12702,Socs3
67296,Socs4
19246,Ptpn1
19268,Ptprf
26419,Mapk8
26420,Mapk9
26414,Mapk10
16150,Ikbkb
16332,Inppl1
212111,Inpp5a
mmu04911,Insulin secretion
20525,Slc2a1
20526,Slc2a2
103988,Gck
68667,Trpm4
11928,Atp1a1
98660,Atp1a2
232975,Atp1a3
27222,Atp1a4
67821,Atp1b4
11931,Atp1b1
11932,Atp1b2
11933,Atp1b3
11936,Fxyd2
20927,Abcc8
16514,Kcnj11
12288,Cacna1c
12289,Cacna1d
54652,Cacna1f
12292,Cacna1s
108058,Camk2d
12325,Camk2g
12323,Camk2b
12322,Camk2a
16531,Kcnma1
16532,Kcnu1
16533,Kcnmb1
72413,Kcnmb2
100502876,Kcnmb3
58802,Kcnmb4
84036,Kcnn1
140492,Kcnn2
140493,Kcnn3
16534,Kcnn4
14526,Gcg
14652,Glp1r
14607,Gip
236781,Gpr119
11516,Adcyap1
11517,Adcyap1r1
14683,Gnas
432530,Adcy1
210044,Adcy2
104111,Adcy3
104110,Adcy4
224129,Adcy5
11512,Adcy6
11513,Adcy7
11514,Adcy8
11515,Adcy9
18747,Prkaca
18749,Prkacb
12912,Creb1
11909,Atf2
11911,Atf4
12913,Creb3
26427,Creb3l1
208647,Creb3l2
208677,Creb3l3
78284,Creb3l4
231991,Creb5
12915,Atf6b
18609,Pdx1
16334,Ins2
16333,Ins1
56508,Rapgef4
116838,Rims2
26875,Pclo
19339,Rab3a
12424,Cck
12425,Cckar
12671,Chrm3
233081,Ffar1
14682,Gnaq
14672,Gna11
18795,Plcb1
18797,Plcb3
18798,Plcb4
18796,Plcb2
16440,Itpr3
20191,Ryr2
22318,Vamp2
20907,Stx1a
20614,Snap25
18750,Prkca
18751,Prkcb
18752,Prkcg
mmu04912,GnRH signaling pathway
14714,Gnrh1
14715,Gnrhr
14683,Gnas
432530,Adcy1
210044,Adcy2
104111,Adcy3
104110,Adcy4
224129,Adcy5
11512,Adcy6
11513,Adcy7
11514,Adcy8
11515,Adcy9
18747,Prkaca
18749,Prkacb
11911,Atf4
14682,Gnaq
14672,Gna11
18795,Plcb1
18797,Plcb3
18798,Plcb4
18796,Plcb2
16438,Itpr1
16439,Itpr2
16440,Itpr3
12313,Calm1
80796,Calm4
12315,Calm3
12314,Calm2
70405,Calml3
494124,Calm5
75600,Calml4
108058,Camk2d
12325,Camk2g
12323,Camk2b
12322,Camk2a
18750,Prkca
18751,Prkcb
18753,Prkcd
12288,Cacna1c
12289,Cacna1d
54652,Cacna1f
12292,Cacna1s
26401,Map3k1
26405,Map3k2
26406,Map3k3
26407,Map3k4
26397,Map2k3
26399,Map2k6
26416,Mapk14
19094,Mapk11
29857,Mapk12
26415,Mapk13
23939,Mapk7
329502,Pla2g4e
18783,Pla2g4a
211429,Pla2g4b
232889,Pla2g4c
78390,Pla2g4d
271844,Pla2g4f
18806,Pld2
18805,Pld1
20779,Src
12540,Cdc42
26398,Map2k4
26400,Map2k7
26419,Mapk8
26420,Mapk9
26414,Mapk10
16476,Jun
16866,Lhb
12640,Cga
14308,Fshb
19229,Ptk2b
17390,Mmp2
17387,Mmp14
15200,Hbegf
13649,Egfr
14784,Grb2
20662,Sos1
20663,Sos2
15461,Hras
16653,Kras
18176,Nras
110157,Raf1
26395,Map2k1
26396,Map2k2
26413,Mapk1
26417,Mapk3
13712,Elk1
13653,Egr1
